time,cpu_usage,memory_usage
0.0,0,100294656
1.702261,0.9144474184628562,236306432
2.943537,1.0389825212120432,321531904
3.961426,1.0051301281377438,392179712
5.131309,1.001160277566218,472133632
6.300741,1.0050437520095226,550514688
7.584595,1.0039274465788166,629420032
9.082611,1.1454083147309508,809721856
10.620541,0.38378733427399164,863936512
160.808815,2.0972255508908773,1869135872
162.69241,2.6580606414860943,1872609280
164.297253,2.111182470808671,1874829312
165.755736,2.0384367599759474,1875210240
167.341862,1.582439956850843,1877061632
169.273963,2.0492865497197092,1878638592
170.279322,2.168508202542575,1880023040
171.427947,2.1009040182827294,1880023040
172.509972,2.1618431311661004,1882198016
173.934026,2.45261477022641,1885032448
175.522475,2.4456920946155654,1886752768
177.218624,2.191822312780304,1888276480
178.225042,2.4260998491680397,1888583680
179.873763,2.4511927039201904,1892159488
181.297439,2.53540463139085,1903968256
182.319594,2.547081234255079,1914150912
183.817636,2.455535047081457,1895776256
185.100815,2.643147655938883,1910841344
186.44882,2.5513179728561837,1922625536
187.878412,2.6412632464367456,1935646720
189.460861,2.6296290856766946,1951453184
191.072798,2.704830278726774,1965363200
192.584616,2.703594666156905,1971183616
194.567119,2.668283640428287,1991487488
195.706478,2.600404242209874,2003996672
196.97325,1.9810744198640324,2014920704
198.821411,2.113157210870698,2032283648
200.680068,2.568362097471454,2048704512
201.82831,2.6557163681523583,2058317824
203.103733,2.5186599426229574,2073788416
204.449968,2.6302508113368024,2086277120
206.34202,2.58033854407807,2099453952
208.015008,2.349282728865957,2117279744
209.854895,2.640058951989986,2127142912
211.417915,2.483512170029814,2143612928
212.62481,1.891352613939075,2161979392
214.296805,2.031102631287773,2180251648
215.310476,2.214758288438754,2184581120
216.998207,2.3915029604836318,2197397504
218.137015,2.0152822942936823,2209939456
219.573646,2.1407960680230342,2222374912
221.44289,2.403782677381872,2237403136
223.27083,2.2982659594953883,2252607488
224.843737,2.0922203779371573,2276978688
226.463906,1.9934034863029721,2284630016
228.179657,2.5016598375871557,2301718528
229.515014,2.4797969277129637,2314207232
230.880442,2.4307116054453255,2325028864
232.865527,2.310332365112829,2346553344
234.403577,2.2713403946555704,2355363840
235.596301,2.0295396948497726,2370555904
237.452399,1.8724012428223078,2392829952
238.862389,2.5070858282682855,2398437376
240.050105,2.6157105595950547,2407583744
241.23913,2.550220516809991,2417623040
242.936762,2.5673240295894515,2434109440
243.967263,2.6699555691843098,2440769536
245.964294,2.3246930793763343,2460450816
246.980375,1.6282809037862138,2469625856
248.977992,2.5027419104863444,2492100608
250.703059,2.5208171363778913,2504970240
252.33969,2.710168482694022,2527109120
253.557411,2.7843677467991435,2586583040
255.177377,3.7684767908709196,2615193600
256.475676,2.599387226671206,2584031232
257.966239,2.3159025636621866,2594516992
259.506249,2.166858116505737,2567012352
260.671364,2.7262830905103788,2578001920
262.250642,2.735221528445277,2586071040
263.52102,2.798154587847082,2594443264
265.422456,2.7914262799273812,2600194048
267.307414,2.7452646552336977,2598608896
268.860078,2.462361805258575,2599002112
270.137007,2.707414424764415,2605686784
271.228355,2.702090233362777,2612592640
272.448517,1.8875317523410826,2622631936
274.395845,1.6762181378791863,2621272064
275.502734,1.751219096946487,2621251584
277.128441,1.5005640838109204,2532999168
